OBJECTID,TRACT,GEOID,P0010001,P0010002,P0010003,P0010004,P0010005,P0010006,P0010007,P0010008,OP000001,OP000002,OP000003,OP000004,P0020002,P0020005,P0020006,P0020007,P0020008,P0020009,P0020010,OP00005,OP00006,OP00007,OP00008,P0030001,P0030003,P0030004,P0030005,P0030006,P0030007,P0030008,OP00009,OP00010,OP00011,OP00012,P0040002,P0040005,P0040006,P0040007,P0040008,P0040009,P0040010,OP000013,OP000014,OP000015,OP000016,H0010001,H0010002,H0010003,ACRES,SQ_MILES,Shape_Length,Shape_Area,FAGI_TOTAL_2010,FAGI_MEDIAN_2010,FAGI_TOTAL_2013,FAGI_MEDIAN_2013,FAGI_TOTAL_2011,FAGI_MEDIAN_2011,FAGI_TOTAL_2012,FAGI_MEDIAN_2012,FAGI_TOTAL_2014,FAGI_MEDIAN_2014,FAGI_TOTAL_2015,FAGI_MEDIAN_2015
27,1100,11001001100,4779,4641,4012,290,9,273,6,51,41,18,88,1,306,3773,290,4,268,3,25,32,9,80,0,3980,3355,260,9,243,6,34,20,11,45,1,242,3162,260,4,238,3,13,18,7,38,0,2234,2118,116,414.2539778,0.64727184,5698.762332,1676426.38,361630195,101389,326529055,88358,410155292,97280,460087019,97640,449192481,113046,480166743,114189.5
28,1200,11001001200,5008,4850,4073,272,18,388,3,96,57,23,76,5,399,3805,263,9,385,3,14,46,22,73,4,4338,3531,239,15,355,3,79,47,21,51,4,350,3293,230,7,352,3,8,38,21,48,3,2633,2516,117,300.9975507,0.47030868,4907.033192,1218093.879,284024809,79665,304763968,74166.5,315822137,74448,334717360,75515,314255746,91068.5,340349324,89304
29,1301,11001001301,3955,3843,3047,374,7,357,0,58,41,13,67,1,290,2820,367,5,356,0,15,35,12,64,1,3477,2736,317,7,301,0,43,29,15,39,1,252,2534,311,5,301,0,8,25,12,39,1,2156,2030,126,705.1114613,1.10173667,8777.811293,2853484.862,271817059,76361.5,240485097,66620,333803307,67980,363121417,68904,333910086,76494,403703591,76325
30,1302,11001001302,6857,6672,5596,379,13,595,2,87,40,28,122,9,483,5219,371,7,587,2,21,36,25,115,9,6589,5395,359,13,569,2,84,38,28,106,9,459,5038,351,7,561,2,21,34,23,102,9,5375,4795,580,393.41836,0.61471619,6378.54781,1592107.626,319818452,68999,405180643,73585,417821164,69520,443957414,72262,401733884,73354.5,488935701,75148
31,1401,11001001401,3078,2975,2541,178,5,198,0,53,37,15,55,4,210,2394,176,1,198,0,12,36,14,44,4,2419,1992,162,4,173,0,40,17,14,22,4,160,1873,160,1,173,0,9,16,13,19,4,1478,1415,63,194.7810138,0.30434534,4033.370295,788250.8012,230011349,91172.5,207763895,79863.5,255563544,81219,291619848,85111,294699961,102872,298582687,96830.5
32,1402,11001001402,2998,2921,2334,356,5,160,0,66,40,13,34,1,232,2182,350,4,159,0,7,36,8,31,1,2446,1881,316,5,141,0,54,25,11,20,1,189,1754,314,4,140,0,5,23,8,18,1,1612,1472,140,221.1892816,0.34560825,4867.514204,895121.27,176059601,98926,181523449,102986,186054316,101142.5,208055809.9,109684.5,216714384,120265,226932847,122810
33,502,11001000502,3189,3095,2720,95,15,192,0,73,26,17,56,1,271,2550,89,5,191,0,9,21,13,52,1,2786,2400,85,9,166,0,60,17,13,37,1,223,2258,80,4,165,0,4,15,10,36,1,1774,1643,131,143.6782056,0.2244972,4037.961014,581445.0726,248468359,76777,252908312,75829,280426020,76905,324046430.6,76609,290539572.3,90718.5,316766139.2,89334
34,1803,11001001803,3514,3401,354,2372,7,73,8,587,62,28,14,5,838,190,2340,4,72,8,14,44,27,7,5,2826,277,1988,5,60,5,407,50,25,11,3,581,162,1966,4,59,5,10,36,24,6,3,1612,1543,69,289.1744935,0.45183515,4709.910531,1170247.663,69030385,25312,76833849,26235,73783877,25460,85008159.3,26127,80454542,27382,86187145,27886.5
35,1804,11001001804,4480,4310,549,2983,20,51,0,707,74,45,18,11,1211,185,2933,8,51,0,22,56,22,17,8,3461,401,2408,15,42,0,471,61,36,10,10,835,153,2368,7,42,0,6,44,21,9,7,1924,1812,112,148.6879204,0.23232488,3404.953403,601718.6691,90687018.37,26365,101095037,26535.5,94000568,27016,101142730,27327,100111583,27144,109529081,28093.5
36,1901,11001001901,4016,3887,424,3023,31,36,3,370,99,56,19,3,625,285,2965,12,29,3,3,87,46,16,3,3190,342,2460,27,30,3,241,64,43,17,3,421,242,2418,11,27,3,2,59,34,14,3,1603,1503,100,190.0412065,0.29693939,3629.655443,769069.4817,89722055.5,36750,96561062,37420,93389146,35486,98715158,38108,110110056,41377,119188692,42401
37,3301,11001003301,3198,3072,959,1998,7,62,4,42,86,38,42,7,125,898,1972,6,62,3,17,80,36,41,7,2828,898,1724,6,61,4,38,64,26,35,7,111,846,1699,6,61,3,15,59,24,35,7,1578,1405,173,108.6302189,0.16973472,3304.154907,439610.9018,94626938,50955.5,118997087,52263,109592464,49060.5,119413477,51581,133621396,60466,152461285,64468
38,3302,11001003302,2134,2054,735,1216,7,41,0,55,57,21,20,0,128,687,1197,7,41,0,2,52,20,19,0,1856,695,1002,7,41,0,51,37,18,17,0,113,654,985,7,41,0,2,34,17,16,0,982,887,95,49.07735171,0.07668336,1890.785622,198608.9971,59721428.37,46371,82445643.83,51120,67070893,46580.5,76544783.24,49236,84411059.95,55925,98091822,61645
39,8804,11001008804,2412,2375,106,2183,7,3,0,76,31,12,12,0,130,68,2167,7,3,0,2,30,12,12,0,1883,87,1706,6,3,0,53,22,11,8,0,87,65,1694,6,3,0,2,21,11,8,0,1396,1096,300,194.5054049,0.3039147,3936.333064,787135.4519,27927495,24539,32464257.52,25106.5,27994707,23754,33989464,23998.5,36934360,26995,42225948,29627
40,8903,11001008903,2633,2591,48,2493,4,7,0,39,38,20,5,1,67,37,2481,3,7,0,5,31,18,5,1,1992,39,1884,4,7,0,29,25,11,2,1,49,31,1877,3,7,0,3,20,10,2,1,1399,1150,249,74.0038484,0.11563101,2991.03481,299482.951,33732629,25168,50045860,29334,34354171,24295,42943277,25774,54736070,30255,61273301,33866
41,8904,11001008904,3309,3249,33,3170,8,10,1,27,59,30,11,2,61,27,3154,8,10,0,0,48,27,8,1,2569,32,2461,8,8,1,20,38,19,6,1,46,26,2448,8,8,0,0,32,17,5,1,1788,1539,249,112.8069603,0.17626088,3121.43913,456513.5745,31336668.91,23070.5,38466036.9,23445,33444738,23349.5,35689645.63,23597,43140351.51,24356.5,47867201,26051
42,9000,11001009000,2732,2648,113,2431,6,68,0,30,74,31,19,1,76,100,2412,5,68,0,3,64,31,16,1,2430,104,2170,6,58,0,22,62,30,13,1,57,95,2156,5,58,0,2,54,30,11,1,1646,1553,93,359.7195472,0.5620618,5394.277842,1455733.369,56150253,43111,65837807.73,47746,53740241,41497,61387829,44821,83619685.28,52520,94751459,57961
43,9102,11001009102,4127,4056,117,3820,11,13,0,95,51,20,9,3,173,95,3784,8,13,0,11,40,19,9,3,3039,107,2795,9,12,0,72,30,15,4,3,113,92,2778,7,12,0,7,27,15,4,3,1854,1662,192,453.5039912,0.70859999,6339.304691,1835265.55,60148337,28156,77312944,28794,64202101,27377,74568845.91,28926,79762070.62,30721.5,89120109.76,31903
44,9201,11001009201,1976,1905,737,1019,4,51,1,93,41,18,21,5,185,666,1006,3,50,1,13,37,14,18,5,1758,718,862,3,48,1,66,33,14,19,4,151,658,849,2,47,1,7,29,10,16,4,619,570,49,158.3379306,0.24740302,3334.446804,640770.8751,28052728.79,37114,45375827.82,38115,31932270,36529.5,41782385.02,37939,56482503,45173,66594041,48118
45,9203,11001009203,2582,2519,280,2117,7,40,2,73,57,22,5,4,167,247,2079,5,34,2,8,36,20,5,4,2109,260,1709,7,33,2,48,44,18,4,4,117,234,1683,5,30,2,4,30,16,4,4,1259,1065,194,145.121157,0.22675181,3471.344052,587284.4895,48343832,32780,62405590,35161,53291874,32934,57854799,33801,70251210,38854,78432565,41301
46,9204,11001009204,2557,2503,170,2062,25,14,0,232,36,30,5,1,318,130,2044,8,14,0,4,32,26,5,1,2028,159,1638,24,14,0,152,30,23,5,1,216,126,1628,8,14,0,3,26,22,5,1,1369,1292,77,74.8843334,0.11700677,2526.496186,303046.1473,28552707,26231,34706643,26124,29833027,25945,33222221,25277,34168438,26411,37791141,28475
47,7200,11001007200,2794,2709,1670,862,4,144,0,29,38,20,30,6,155,1569,851,3,143,0,3,34,18,30,6,2658,1617,793,4,138,0,29,34,18,27,6,151,1518,782,3,137,0,3,31,17,27,6,2370,1830,540,405.6675025,0.63385548,5365.257137,1641678.148,107909588,64030,186295174,70045,147535588,70485.5,183471831,74226,197488193,64040,247923152,69664
48,7301,11001007301,3012,2818,1791,767,21,110,13,116,106,26,72,31,391,1605,717,18,102,13,10,87,21,67,29,2064,1293,511,18,81,11,76,38,17,25,12,236,1167,487,15,78,11,5,33,15,23,12,991,812,179,2439.892023,3.81233131,17862.98847,9873892.762,1673140,34010,3361568,40680,3109017,38200,3139475,40044.5,2419064,33378.5,4259994,47582
49,7304,11001007304,3546,3513,41,3443,10,7,1,11,32,13,8,2,38,40,3420,9,7,1,3,27,13,8,2,2429,39,2347,6,7,1,10,18,9,4,2,24,38,2333,5,7,1,3,17,9,4,2,1376,1198,178,308.98569,0.48279014,5527.038453,1250420.731,36698222,22766,39995849.95,20922,37593142,22045,38956385,21596,42476757.47,22262,46570052,23679
50,7401,11001007401,2414,2393,17,2349,10,5,0,12,21,10,4,1,31,15,2342,8,5,0,0,13,6,4,1,1468,14,1425,7,4,0,8,10,4,1,1,20,12,1422,5,4,0,0,5,3,1,1,935,771,164,357.7377754,0.55896528,6378.842229,1447713.423,16271306,18377.5,17706306,16504.5,16387522,17011.5,17334402,16731,14011455,17975,15637219,17739
51,7403,11001007403,2859,2835,12,2811,4,7,0,1,24,7,8,0,24,12,2792,2,6,0,0,23,7,8,0,1956,11,1918,3,7,0,1,16,4,6,0,12,11,1910,2,6,0,0,15,4,6,0,1180,1092,88,80.58207072,0.12590949,3174.081577,326104.0724,26534651,24468,27739508,22754,26480238,23187,26796677,22942,27476513,23605,29354682,23579
52,7404,11001007404,3310,3246,41,3165,4,8,0,28,58,34,9,2,64,31,3147,2,8,0,4,52,31,9,2,2100,29,2003,4,7,0,17,37,16,8,2,36,24,1993,2,7,0,2,35,15,8,2,1308,1106,202,199.1240547,0.31113134,4988.203673,805826.4642,35852862,26372,41892503,24785.5,39142259,26176,39740883,25212,42407920,25068,45389701,25906.5
53,7406,11001007406,3063,3028,20,2984,5,2,0,17,35,13,4,3,71,11,2950,5,2,0,4,20,11,2,1,1830,14,1779,3,2,0,11,21,10,3,2,35,10,1764,3,2,0,3,13,9,2,1,1066,985,81,91.35431258,0.14274111,2600.357547,369697.7888,18379045,19594.5,22222673,18214.5,20073849,18103,21564321,18133,23059323,21164,25139415,20219
54,7407,11001007407,2587,2551,32,2499,3,11,0,6,35,14,1,1,36,32,2469,3,11,0,3,33,14,1,1,1850,30,1778,3,7,0,5,26,11,1,1,22,30,1762,3,7,0,2,24,11,1,1,1203,1090,113,150.8889619,0.235764,4692.193111,610625.9683,39030200,30728,43791436,29333.5,39577235,30210,44108527,29089,50949995,30110,56092745,32550
55,7408,11001007408,3038,3010,32,2964,7,4,0,3,28,15,0,1,32,26,2939,7,4,0,2,28,15,0,1,2027,27,1970,6,3,0,3,18,12,0,1,20,24,1954,6,3,0,2,18,12,0,1,1239,1053,186,94.49100834,0.1476422,3911.211868,382391.5462,21984988,20813,22774343,18636,22572738,19635,22553935,19045,23518853,20030,24612841,19793.5
56,7409,11001007409,3499,3455,20,3417,3,6,0,9,44,26,6,0,34,12,3399,3,6,0,4,41,25,6,0,2291,16,2229,2,4,0,9,31,21,5,0,23,10,2219,2,4,0,4,29,20,5,0,1507,1417,90,98.28496087,0.15357025,3046.210809,397745.1275,39191696,24851,40482342,21349.5,41624746,23520,41342314,21925.5,41640347,21652,44912587,23194
57,7502,11001007502,4541,4454,43,4380,4,8,0,19,86,35,22,3,57,34,4357,4,8,0,10,70,30,19,1,3251,41,3121,4,8,0,16,60,24,15,1,41,32,3107,4,8,0,8,50,20,12,1,1898,1677,221,152.1498118,0.23773408,4792.907479,615728.4468,45577412,25027,50022193.2,24720,47562189,24670.5,46735112,24116.5,46799965,23785,49214213,23715
58,4600,11001004600,3028,2929,816,1964,3,97,0,49,60,20,42,7,221,697,1929,3,96,0,7,45,14,36,5,2537,757,1560,3,94,0,39,53,16,35,6,167,668,1533,3,93,0,6,42,11,33,5,1465,1268,197,107.9646249,0.16869473,2900.631832,436917.3382,60318054,36871,93634428,41045,76955521,38515,84837124,39885,95317975,42801,109132266,46092.5
59,4701,11001004701,3986,3919,595,2754,19,530,1,20,45,27,23,4,108,549,2725,13,527,1,3,39,24,23,4,3066,580,1923,17,469,1,20,36,20,21,4,98,536,1900,12,466,1,3,31,18,21,4,2138,2002,136,79.37474624,0.12402304,2917.412572,321218.2035,62945849,27406,104928195,36630,78637972,29027,96427153,32836,106712117,36532.5,145902602,45305
60,4702,11001004702,1802,1742,703,853,0,158,1,27,35,14,21,1,95,659,844,0,158,1,5,24,8,16,1,1647,693,724,0,157,1,21,31,11,17,1,84,649,716,0,157,1,4,22,8,14,1,988,922,66,80.1862984,0.12529109,2950.758095,324502.4386,68048639,59074,106167879,69010,92778875,68605,108357349,67405.5,104919301,61331,138666390,69195
61,4801,11001004801,2143,2045,847,961,9,123,5,100,50,24,50,2,191,776,952,6,123,0,10,48,19,48,2,1934,816,829,9,113,3,80,43,22,41,2,166,752,820,6,113,0,5,41,17,39,2,1208,1078,130,78.44606933,0.12257198,2458.972701,317459.9814,63801222,47244,99227482,52484,76691024,48478,90035901,53570,109555605,60609,122287899,63711
62,4802,11001004802,2922,2845,866,1464,16,369,1,129,48,31,20,1,223,793,1457,9,368,0,6,45,30,18,1,2492,830,1176,13,303,1,106,36,26,19,0,186,767,1171,9,302,0,4,33,24,17,0,1561,1382,179,71.1905918,0.1112353,2192.317601,288098.1054,73241336.7,33975.5,115913258,41981,87920491,37146.5,108590991.4,40512,102577469,40676,119531192,45675
63,4901,11001004901,2087,2036,793,1075,14,94,1,59,30,13,21,0,178,686,1060,12,94,1,16,24,11,21,0,1696,730,794,14,80,1,38,23,12,16,0,128,652,786,12,80,1,5,19,11,16,0,1094,971,123,67.17793143,0.10496552,2112.98851,271859.4448,52574029,35398,77147230,44409,57630673,39410,66056089,43123,107168062,52044,136442151,59090
64,4902,11001004902,2690,2615,1330,812,11,166,6,290,21,9,26,6,468,1193,805,4,166,1,11,16,8,22,6,2354,1281,615,8,162,4,220,18,9,23,5,375,1162,610,3,162,1,5,14,8,20,5,1530,1417,113,65.20095982,0.1018765,2052.282436,263858.9246,98407326,44608.5,123680131,52213.5,116868349,50705,126553450,51963,123848559,53770,141451695,59191.5
65,5001,11001005001,1955,1893,1259,484,3,92,0,55,25,8,30,2,169,1161,474,1,92,0,9,23,8,25,0,1802,1195,429,3,87,0,42,22,8,21,0,140,1108,419,1,87,0,8,20,8,18,0,1003,952,51,50.59006122,0.07904697,2114.927043,204730.7154,94309397,67622,124100006,74090,114164264,69871,126820603,72566.5,122794751,70213,147289866,78133
66,5002,11001005002,6021,5799,3225,1152,33,328,5,1056,75,39,79,4,1676,2737,1120,15,326,4,15,50,27,73,4,5480,3128,1037,27,305,5,790,61,37,63,3,1340,2693,1008,15,303,4,8,42,27,58,3,3853,3475,378,57.69594676,0.09014992,2245.140851,233487.2141,192352559,39733,266261760,53208,250076730,48270.5,278673551,51141,219968978,53829,259592000,59810.5
67,5201,11001005201,6077,5878,4398,775,20,442,19,224,65,47,99,8,612,4079,757,9,438,3,18,58,32,91,8,5811,4305,672,20,429,15,197,56,45,82,7,562,3999,656,9,425,3,16,49,32,78,7,4548,4200,348,83.93588152,0.13114982,2661.842057,339676.4632,268298733,66130,401961716,75149,360312493,70538,397149782,73528,376053670,76106.5,442277202,81647.5
68,5301,11001005301,5051,4902,4121,179,17,455,4,126,37,24,96,4,432,3847,171,7,451,2,16,29,19,92,4,4920,4039,169,16,442,4,116,34,22,84,4,413,3770,163,7,438,2,16,27,17,80,4,3890,3608,282,70.76334226,0.11056772,2322.239748,286369.0878,226732166,64826,288225330,72068,295640286,68569,343695487,71067,263936773,70086.5,326386690,76569.5
69,5500,11001005500,6671,6454,5135,628,18,590,1,82,63,37,121,10,493,4752,613,13,586,1,24,58,30,117,10,6476,5000,611,17,574,1,76,57,36,108,10,474,4628,597,13,570,1,18,53,30,106,10,4983,4185,798,157.5255182,0.24613362,3987.966398,637483.1588,333923999,73032,409244354,78901.5,425105796,75480,505477215,77201.5,444403949,80908,536412412,81726
70,5600,11001005600,6756,6523,5107,517,13,797,0,89,105,47,130,7,428,4810,495,11,794,0,17,96,42,119,7,6629,5031,506,13,785,0,85,98,47,110,7,414,4742,484,11,782,0,17,89,42,100,7,4059,3347,712,117.3822403,0.18340975,4364.539699,475029.0758,167255800,63663,192250360,61943.5,208921431,59263,248986836.8,64756,203331811,67936,233194623,67328
71,5800,11001005800,2830,2737,1806,265,7,602,4,53,29,17,46,6,180,1698,262,7,600,4,1,21,16,46,6,2710,1759,254,7,563,4,42,24,17,39,6,161,1656,251,7,561,4,1,19,16,39,6,2306,1810,496,225.0419986,0.35162813,4111.144016,910712.6629,119511652,83192,175823623,89328,167620188,88884.5,151839744,87076,159463208,88725,171281204,100633.5
72,5900,11001005900,2998,2922,1712,826,9,280,1,94,37,15,29,2,223,1617,806,9,278,1,7,25,13,25,1,2885,1695,752,7,278,1,83,31,14,27,2,207,1603,732,7,276,1,7,21,12,23,1,1868,1523,345,159.0928948,0.24858265,3377.371983,643826.1071,55624517.13,46136,89285287,47249,91864708,49222,90357257,49116,56008018,51855,73843853,52042
73,6202,11001006202,33,33,7,25,0,1,0,0,0,0,0,0,0,7,25,0,1,0,0,0,0,0,0,29,7,21,0,1,0,0,0,0,0,0,0,7,21,0,1,0,0,0,0,0,0,8,8,0,2821.333501,4.40833363,27060.07099,11417531.67,128235,102705,554878,52548,,,,,,,,
74,6400,11001006400,2139,2095,142,1860,24,38,0,31,37,22,7,3,65,133,1839,24,38,0,3,32,17,7,3,1565,136,1330,13,26,0,22,31,18,7,3,49,127,1318,13,26,0,1,26,13,7,3,1055,977,78,226.4751492,0.35386742,4676.886797,916512.4176,22543116,21222,36959590,25016,25389209,21449,28899876.26,20823,39572111,26737,50187446,28943.5
75,6600,11001006600,1909,1876,1718,58,11,70,1,18,15,8,14,1,78,1659,56,10,70,1,4,14,8,13,1,1680,1525,50,10,58,1,15,10,7,9,0,60,1482,48,10,58,1,2,9,7,8,0,1143,1016,127,73.19528589,0.11436764,2663.238244,296210.8146,106170076,88338,117490965,80400,123630521,81172,136743813,87030,133316015,92949,138452048,90957
76,6700,11001006700,3775,3679,3077,452,11,114,2,23,33,23,48,4,147,2965,447,10,113,2,10,28,17,45,4,3283,2703,389,9,98,2,20,23,22,25,3,121,2609,386,9,97,2,8,18,17,24,3,2008,1866,142,105.8274403,0.16535538,3020.444037,428268.4589,217100355,85648,233122093,83000,249708355,86231,255796748,88571,284608649,99852.5,302416019,101467.5
77,6801,11001006801,1949,1893,647,1192,3,31,0,20,30,12,25,1,74,607,1183,2,31,0,3,24,11,25,1,1687,574,1016,3,30,0,18,25,11,19,1,61,539,1011,2,30,0,3,21,10,18,1,977,880,97,60.43495636,0.09442962,2060.756247,244571.5927,52747534,48014,76178458,51207.5,59126678,48635.5,64998901,48317,79312724,58579,90648226,61861
78,6802,11001006802,2084,2029,937,1022,6,38,0,26,37,14,24,0,94,894,1009,5,36,0,8,22,8,21,0,1754,804,856,6,31,0,18,26,11,16,0,71,766,850,5,31,0,3,17,8,14,0,1004,921,83,69.83554626,0.10911804,2545.70931,282614.4306,73798559,58385,96128685,63716,84563148,61279.5,90361240,60771.5,106607317,69016.5,117623354,70190
79,6804,11001006804,3670,3567,187,3225,29,21,1,104,75,41,25,11,315,91,3138,24,21,0,8,64,33,19,5,3396,186,2965,25,20,1,101,70,36,21,11,296,91,2894,20,20,0,7,59,28,15,5,13,12,1,499.9170838,0.78112045,6734.287255,2023092.673,1427126,31692,1403283,15698,1213118,15245,1517968,16825.5,1893345,26956,1977861,21076
80,6900,11001006900,2179,2121,1404,636,7,61,2,11,11,13,35,2,87,1340,630,6,61,2,6,9,6,32,2,1888,1234,548,6,52,2,7,9,10,23,1,68,1180,545,5,52,2,2,7,6,22,1,1190,1114,76,101.3774853,0.15840232,2860.13228,410260.1299,96831762,74417,117789037,79464.5,111579539,75970,124386107,78466,124366685,83717,136440279,86964.5
81,7000,11001007000,2812,2748,2209,433,8,65,4,29,23,11,31,3,162,2093,423,7,64,4,9,20,9,27,2,2596,2074,378,8,61,4,24,18,11,19,3,144,1968,371,7,60,4,5,16,9,18,2,1268,1195,73,103.8770495,0.16230789,2909.008064,420375.5074,105497762,75046.5,113568529,74503,116461048,73158.5,119493354,77934,126183172,81669,147508156,83749
82,7100,11001007100,2911,2807,977,1703,15,72,0,40,44,31,39,2,158,898,1691,15,71,0,7,36,21,32,2,2289,895,1209,12,70,0,31,32,26,24,2,119,830,1201,12,69,0,6,29,17,20,2,1461,1342,119,180.7082325,0.28235662,3852.778052,731300.2755,73551776,42529,90074658,44333,88319005,43479,89640055,41845,90963474,44853,100613150,49413.5
